Date,Sum,rain,maxt,mint,gmin,soil
2009-07-15,204362.954,0.1,21.5,8.3,5.9,16.5
2009-07-16,200007.564,0.0,20.2,8.7,6.4,17.0
2009-07-17,200041.092,0.1,19.9,10.0,6.8,16.6
2009-07-18,197361.697,5.4,16.5,11.0,9.8,17.0
2009-07-19,188753.38,0.0,18.8,12.4,11.1,17.0
2009-07-20,175974.172,1.7,20.8,8.8,5.8,16.5
2009-07-21,196439.08,7.9,21.9,10.7,8.1,17.0
2009-07-22,201074.567,3.3,20.5,11.6,9.5,17.4
2009-07-23,199337.975,9.2,18.7,11.7,9.7,17.4
2009-07-24,200189.628,0.0,20.7,9.1,7.2,17.0
2009-07-25,199087.673,7.0,21.3,6.1,4.5,16.4
2009-07-26,190037.126,2.9,19.6,12.2,9.0,17.0
2009-07-27,178790.995,1.3,19.0,10.9,8.9,17.0
2009-07-28,197931.087,4.1,19.0,11.7,10.3,17.2
2009-07-29,202387.805,9.6,18.5,6.8,4.9,16.0
2009-07-30,201335.066,3.7,19.3,9.1,7.0,15.8
2009-07-31,199400.532,10.9,17.0,12.5,11.5,16.5
2009-08-01,206992.894,0.3,18.1,12.1,11.0,16.0
2009-08-02,189731.961,3.5,17.5,10.4,7.4,16.0
2009-08-03,177981.77,4.6,17.8,13.4,12.7,16.2
2009-08-04,182042.406,0.2,20.7,14.4,13.0,16.5
2009-08-05,201248.766,0.0,19.7,12.5,10.5,16.0
2009-08-06,201119.591,1.1,19.6,9.4,7.1,11.0
2009-08-07,201269.983,0.2,18.8,9.0,6.8,15.2
2009-08-08,197453.353,0.1,22.1,13.7,12.7,17.0
2009-08-09,189834.579,4.0,20.0,13.5,12.0,17.3
2009-08-10,181147.518,0.3,18.7,13.7,13.2,17.2
2009-08-11,202842.106,3.3,20.5,13.3,9.7,17.1
2009-08-12,205530.71,0.3,19.7,14.2,12.3,17.5
2009-08-13,206345.39,0.0,19.6,10.3,7.5,16.6
2009-08-14,203366.393,12.0,20.5,13.1,11.1,11.0
2009-08-15,206912.33,0.7,20.0,14.2,13.5,17.9
2009-08-16,194052.528,0.2,17.5,13.5,12.0,17.1
2009-08-17,183150.615,2.0,21.2,13.5,12.5,17.0
2009-08-18,201818.944,3.2,22.4,14.5,13.5,17.5
2009-08-19,208320.951,26.6,21.0,17.1,16.6,18.2
2009-08-20,210697.154,6.4,18.2,11.5,9.9,17.0
2009-08-21,207542.546,0.0,19.0,9.3,7.1,16.0
2009-08-22,204168.206,6.5,18.9,4.3,1.7,15.5
2009-08-23,195090.541,4.5,18.0,14.5,14.0,17.0
2009-08-24,186506.892,1.3,18.6,7.1,3.0,15.0
2009-08-25,205054.401,5.6,19.2,6.8,3.0,14.5
2009-08-26,198075.244,0.6,18.8,12.1,12.0,16.2
2009-08-27,199524.856,16.3,17.3,8.0,5.0,15.1
2009-08-28,199186.234,1.5,16.9,9.9,6.9,14.4
2009-08-29,197093.385,1.0,17.8,7.3,3.1,14.2
2009-08-30,185486.047,12.1,18.7,9.9,6.5,15.5
2009-08-31,182002.294,2.2,19.2,15.9,15.1,16.2
2009-09-01,180651.411,5.1,17.5,10.0,7.0,15.1
2009-09-02,178800.785,27.1,15.0,9.0,7.0,15.0
2009-09-03,182935.908,4.1,16.5,9.0,6.0,14.0
2009-09-04,177585.927,1.8,17.5,6.1,2.8,13.4
2009-09-05,174444.708,2.2,15.7,9.8,7.0,14.4
2009-09-06,167736.802,10.4,17.5,12.2,11.5,14.5
2009-09-07,164971.439,4.0,18.0,8.4,3.1,14.0
2009-09-08,173472.917,2.5,16.0,13.6,12.9,16.0
2009-09-09,178807.647,0.0,18.5,4.0,1.0,13.0
2009-09-10,172195.126,0.0,19.5,2.2,0.0,12.5
2009-09-11,170527.984,0.0,22.0,3.3,0.1,13.0
2009-09-12,169830.877,0.0,22.0,3.3,0.6,13.1
2009-09-13,174289.266,0.0,20.6,4.3,0.8,13.2
2009-09-14,166628.065,0.0,18.8,5.1,1.7,13.3
2009-09-15,184263.607,0.0,17.0,6.0,2.5,14.1
2009-09-16,186743.566,0.0,17.5,10.6,8.1,14.5
2009-09-17,186167.199,0.0,16.5,9.1,5.7,14.5
2009-09-18,186215.886,2.2,15.5,5.5,2.2,14.6
2009-09-19,206126.583,0.1,17.5,10.5,7.4,14.0
2009-09-20,200490.263,0.0,17.5,2.0,0.0,12.5
2009-09-21,191515.003,1.5,20.5,10.6,6.6,14.0
2009-09-22,207299.543,0.2,16.4,11.1,6.7,14.9
2009-09-23,207243.636,0.1,18.0,10.7,4.0,14.5
2009-09-24,207569.907,0.0,18.0,5.2,2.0,13.5
2009-09-25,207354.769,0.0,20.0,11.5,10.6,14.5
2009-09-26,206812.862,0.0,17.1,12.5,11.9,15.2
2009-09-27,201028.186,0.2,17.3,12.5,11.0,15.2
2009-09-28,190924.091,0.2,16.9,13.2,13.1,15.5
2009-09-29,208445.952,0.0,19.0,12.6,12.5,15.2
2009-09-30,211545.278,0.3,19.5,8.5,6.9,14.9
2009-10-01,210123.508,0.0,14.2,10.5,9.2,15.2
2009-10-02,211252.594,3.7,16.0,7.5,6.4,14.3
2009-10-03,213633.783,1.0,14.0,11.3,11.0,14.1
2009-10-04,204959.084,0.0,16.0,7.2,4.6,13.2
2009-10-05,194515.571,14.8,16.6,3.1,1.5,12.7
2009-10-06,209833.04,5.2,13.3,8.9,7.7,14.0
2009-10-07,220552.055,0.2,15.6,-1.4,-2.0,11.8
2009-10-08,217741.074,0.4,15.5,4.5,1.4,11.9
2009-10-09,214516.414,12.5,15.5,8.8,6.2,12.5
2009-10-10,222081.607,4.6,17.7,8.9,5.8,12.1
