Sum,rain,maxt,mint,gmin,soil
204362.954,0.1,21.5,8.3,5.9,16.5
200007.564,0.0,20.2,8.7,6.4,17.0
200041.092,0.1,19.9,10.0,6.8,16.6
197361.697,5.4,16.5,11.0,9.8,17.0
188753.38,0.0,18.8,12.4,11.1,17.0
175974.172,1.7,20.8,8.8,5.8,16.5
196439.08,7.9,21.9,10.7,8.1,17.0
201074.567,3.3,20.5,11.6,9.5,17.4
199337.975,9.2,18.7,11.7,9.7,17.4
200189.628,0.0,20.7,9.1,7.2,17.0
199087.673,7.0,21.3,6.1,4.5,16.4
190037.126,2.9,19.6,12.2,9.0,17.0
178790.995,1.3,19.0,10.9,8.9,17.0
197931.087,4.1,19.0,11.7,10.3,17.2
202387.805,9.6,18.5,6.8,4.9,16.0
201335.066,3.7,19.3,9.1,7.0,15.8
199400.532,10.9,17.0,12.5,11.5,16.5
206992.894,0.3,18.1,12.1,11.0,16.0
189731.961,3.5,17.5,10.4,7.4,16.0
177981.77,4.6,17.8,13.4,12.7,16.2
182042.406,0.2,20.7,14.4,13.0,16.5
201248.766,0.0,19.7,12.5,10.5,16.0
201119.591,1.1,19.6,9.4,7.1,11.0
201269.983,0.2,18.8,9.0,6.8,15.2
197453.353,0.1,22.1,13.7,12.7,17.0
189834.579,4.0,20.0,13.5,12.0,17.3
181147.518,0.3,18.7,13.7,13.2,17.2
202842.106,3.3,20.5,13.3,9.7,17.1
205530.71,0.3,19.7,14.2,12.3,17.5
206345.39,0.0,19.6,10.3,7.5,16.6
203366.393,12.0,20.5,13.1,11.1,11.0
206912.33,0.7,20.0,14.2,13.5,17.9
194052.528,0.2,17.5,13.5,12.0,17.1
183150.615,2.0,21.2,13.5,12.5,17.0
201818.944,3.2,22.4,14.5,13.5,17.5
208320.951,26.6,21.0,17.1,16.6,18.2
210697.154,6.4,18.2,11.5,9.9,17.0
207542.546,0.0,19.0,9.3,7.1,16.0
204168.206,6.5,18.9,4.3,1.7,15.5
195090.541,4.5,18.0,14.5,14.0,17.0
186506.892,1.3,18.6,7.1,3.0,15.0
205054.401,5.6,19.2,6.8,3.0,14.5
198075.244,0.6,18.8,12.1,12.0,16.2
199524.856,16.3,17.3,8.0,5.0,15.1
199186.234,1.5,16.9,9.9,6.9,14.4
197093.385,1.0,17.8,7.3,3.1,14.2
185486.047,12.1,18.7,9.9,6.5,15.5
182002.294,2.2,19.2,15.9,15.1,16.2
180651.411,5.1,17.5,10.0,7.0,15.1
178800.785,27.1,15.0,9.0,7.0,15.0
182935.908,4.1,16.5,9.0,6.0,14.0
177585.927,1.8,17.5,6.1,2.8,13.4
174444.708,2.2,15.7,9.8,7.0,14.4
167736.802,10.4,17.5,12.2,11.5,14.5
164971.439,4.0,18.0,8.4,3.1,14.0
173472.917,2.5,16.0,13.6,12.9,16.0
178807.647,0.0,18.5,4.0,1.0,13.0
172195.126,0.0,19.5,2.2,0.0,12.5
170527.984,0.0,22.0,3.3,0.1,13.0
169830.877,0.0,22.0,3.3,0.6,13.1
174289.266,0.0,20.6,4.3,0.8,13.2
166628.065,0.0,18.8,5.1,1.7,13.3
184263.607,0.0,17.0,6.0,2.5,14.1
186743.566,0.0,17.5,10.6,8.1,14.5
186167.199,0.0,16.5,9.1,5.7,14.5
186215.886,2.2,15.5,5.5,2.2,14.6
206126.583,0.1,17.5,10.5,7.4,14.0
200490.263,0.0,17.5,2.0,0.0,12.5
191515.003,1.5,20.5,10.6,6.6,14.0
207299.543,0.2,16.4,11.1,6.7,14.9
207243.636,0.1,18.0,10.7,4.0,14.5
207569.907,0.0,18.0,5.2,2.0,13.5
207354.769,0.0,20.0,11.5,10.6,14.5
206812.862,0.0,17.1,12.5,11.9,15.2
201028.186,0.2,17.3,12.5,11.0,15.2
190924.091,0.2,16.9,13.2,13.1,15.5
208445.952,0.0,19.0,12.6,12.5,15.2
211545.278,0.3,19.5,8.5,6.9,14.9
210123.508,0.0,14.2,10.5,9.2,15.2
211252.594,3.7,16.0,7.5,6.4,14.3
213633.783,1.0,14.0,11.3,11.0,14.1
204959.084,0.0,16.0,7.2,4.6,13.2
194515.571,14.8,16.6,3.1,1.5,12.7
209833.04,5.2,13.3,8.9,7.7,14.0
220552.055,0.2,15.6,-1.4,-2.0,11.8
217741.074,0.4,15.5,4.5,1.4,11.9
214516.414,12.5,15.5,8.8,6.2,12.5
222081.607,4.6,17.7,8.9,5.8,12.1
206481.603,0.2,18.0,11.2,8.6,13.4
196191.629,0.4,17.2,0.1,-1.0,11.2
214257.13,0.0,17.0,7.4,7.5,13.0
219125.059,0.0,18.8,6.1,3.6,13.0
217148.953,0.0,14.8,7.8,4.6,13.0
216772.174,0.0,16.2,10.2,9.5,13.2
215298.888,0.3,15.5,-0.5,-1.1,10.5
205952.372,1.1,15.5,4.0,1.4,12.0
200042.414,3.2,13.5,10.6,9.5,12.5
222383.491,4.7,15.9,10.3,8.4,12.2
224218.709,5.0,15.0,6.2,2.3,11.4
224848.579,5.0,16.0,8.5,3.9,11.2
220118.349,4.3,15.5,5.1,1.7,11.0
220509.817,11.5,14.8,9.2,7.8,13.0
208716.416,1.2,14.5,10.8,8.8,12.0
205802.321,1.0,15.5,5.0,2.4,11.2
201787.934,2.5,15.5,10.1,9.1,13.0
228625.309,0.2,16.8,11.3,10.2,12.5
223679.195,0.5,16.6,12.5,11.0,13.5
229784.514,7.0,17.0,14.0,13.0,14.5
229236.392,24.3,17.2,10.5,9.7,13.0
212125.671,5.6,12.0,8.8,8.4,13.0
208475.701,11.5,12.0,5.5,2.4,10.5
231390.208,16.0,12.0,6.8,5.0,11.0
233991.767,3.2,11.6,6.0,3.5,9.6
236929.871,6.6,12.0,7.0,3.4,9.5
235143.411,12.8,12.3,3.8,-0.1,9.0
236290.538,10.0,9.4,3.3,0.3,8.0
227919.599,0.2,13.2,4.0,-1.0,8.0
214058.346,19.4,9.7,2.0,-1.6,7.5
242391.715,0.1,11.5,0.0,-3.0,7.5
237387.479,9.5,11.5,-2.1,-4.9,6.0
245126.198,11.9,10.3,4.6,-1.0,7.1
242939.303,14.1,9.2,2.8,0.0,7.0
242630.923,0.4,10.3,5.2,3.9,7.8
229436.608,13.0,12.3,3.3,-2.1,7.3
218562.764,1.2,11.0,7.4,6.5,8.5
241045.778,21.1,12.8,2.0,-1.5,7.0
244688.596,14.6,14.5,6.1,6.1,9.3
244158.445,14.2,14.7,12.4,11.3,11.0
243198.41,6.7,13.0,6.9,3.8,10.3
234100.59,6.4,14.0,6.1,0.7,9.3
229566.485,19.6,11.0,5.1,3.1,8.3
224059.883,8.8,12.5,6.5,5.4,8.9
242694.554,14.0,12.0,7.1,4.8,9.5
251071.994,11.3,9.5,5.0,2.5,7.0
248001.763,11.3,7.5,4.1,2.5,7.2
246324.275,4.6,6.0,1.5,-1.8,5.3
249522.392,0.3,4.9,-1.0,-3.9,5.5
240447.046,1.0,6.0,-0.5,-0.8,5.1
231857.026,1.7,6.0,-0.1,-5.0,5.0
256680.191,1.6,9.5,-3.0,-6.4,4.0
264130.28,1.5,8.9,5.0,1.9,5.5
254362.972,2.9,7.6,1.0,-1.4,6.7
256084.485,9.1,11.2,-1.0,-4.5,4.8
256740.566,3.2,12.0,6.0,4.0,6.8
241458.771,2.7,7.6,4.5,2.5,6.5
227720.325,3.2,10.0,5.2,3.0,6.5
256935.187,1.6,12.3,3.5,0.0,6.1
259815.464,2.4,10.0,7.4,5.2,7.0
255090.831,0.7,9.5,-1.9,-4.3,5.3
253998.003,0.0,10.5,0.0,1.0,6.5
250380.282,0.0,9.7,5.0,0.5,5.0
241034.944,0.0,4.3,-2.8,-6.9,4.4
235741.273,1.0,7.3,-1.2,-2.6,3.8
269174.109,0.1,7.0,0.7,1.5,5.5
263712.033,0.1,5.5,-0.5,-5.3,4.0
264941.924,0.0,4.5,0.8,-1.3,4.8
264658.386,0.0,0.4,-4.2,-8.5,3.0
270508.057,0.0,4.3,-4.5,-8.4,2.5
258948.927,0.6,2.3,-5.4,-9.0,2.2
250371.667,0.3,2.0,-5.1,-8.3,2.0
281633.253,0.0,-0.5,-4.5,-8.0,2.0
284532.825,0.0,-0.5,-7.1,-10.5,1.5
280114.127,0.0,-2.5,-7.0,-10.0,1.5
276935.459,5.4,4.0,-10.0,-12.4,1.0
269004.066,1.6,5.0,-5.5,-7.0,1.0
236576.502,0.1,4.9,-1.5,-2.8,1.3
234674.983,1.0,2.8,-3.1,-6.4,1.3
243171.617,13.2,2.7,0.8,-1.0,1.3
257973.336,5.4,4.0,0.0,-1.5,1.5
258763.554,0.0,2.5,1.5,-0.3,2.0
252581.292,0.0,-1.5,-4.4,-8.5,1.5
242847.263,0.0,0.0,-7.1,-8.6,1.0
246785.565,0.0,3.2,-7.1,-8.5,1.0
243823.42,0.1,0.6,-6.2,-10.2,0.5
278673.396,0.0,2.6,-6.6,-8.5,0.5
277897.358,0.0,2.0,-2.8,-4.5,0.5
281007.666,0.0,0.5,-9.4,-11.5,-0.5
278785.841,0.0,-2.1,-9.3,-8.5,-1.0
280632.621,0.2,-2.0,-11.8,-13.7,1.0
272133.992,0.4,1.0,-8.9,-10.5,-1.5
262750.21,1.4,5.5,-5.3,-1.0,0.0
278775.82,11.2,3.5,-2.0,-7.0,0.1
282500.338,0.2,5.7,-0.4,-3.1,0.4
269964.898,1.0,9.5,-2.5,-4.2,0.5
261483.106,7.2,11.0,-2.2,-3.5,0.6
257288.416,0.7,8.0,3.0,-1.2,3.4
236697.806,0.6,9.5,-1.9,-6.3,2.0
226367.098,0.0,9.2,-0.5,-2.8,2.2
245960.353,10.0,8.0,0.3,-3.5,2.3
253083.053,0.0,10.0,-0.4,-4.3,2.2
247796.208,2.0,11.2,-1.5,-6.2,3.0
253125.244,0.3,8.0,-1.9,-1.0,3.4
243284.673,0.1,0.7,-2.0,-6.6,2.0
238920.296,0.8,5.5,-3.0,-3.0,2.0
231580.242,0.0,7.0,-2.5,-1.7,2.5
253337.756,0.3,6.2,-4.0,-5.5,2.0
253874.389,1.2,9.5,-1.2,-4.9,1.5
251620.444,3.0,8.1,3.0,2.5,3.5
249074.176,0.5,7.5,5.2,3.0,4.5
245697.235,0.0,4.0,-3.5,-6.4,3.0
235157.183,0.0,5.5,-6.5,-9.1,2.0
228130.99,3.9,8.1,-6.0,-8.0,1.5
253689.574,8.2,9.0,-1.0,-4.5,2.5
249384.787,5.2,10.0,6.0,4.5,4.0
247392.491,8.1,10.5,-1.5,-4.0,3.2
250334.63,0.3,9.7,3.0,-0.6,4.0
240435.994,0.2,6.0,2.2,-1.2,4.1
232217.816,0.0,8.5,1.5,-0.8,4.0
223379.256,0.0,5.5,2.9,1.8,4.2
247352.966,0.0,5.8,1.3,-0.6,3.6
248716.965,0.0,6.0,-5.0,-8.5,2.5
248451.059,0.0,5.2,-5.7,-9.2,0.5
247938.153,0.0,6.5,-5.6,-8.2,1.2
247110.67,0.0,5.5,-2.2,-6.2,1.0
232201.021,1.0,9.5,-5.5,-8.2,1.5
218237.675,0.6,8.7,-3.2,-5.2,2.2
240989.247,0.0,8.5,-1.7,-4.8,2.5
244478.149,0.6,6.6,-3.1,-6.6,2.1
243806.662,0.3,7.0,-1.9,-5.8,2.0
245031.717,0.2,7.5,-4.9,-8.0,2.0
246207.862,4.5,7.2,-3.0,-5.6,2.0
233894.686,0.0,5.3,-0.2,-1.4,2.2
223762.157,0.0,1.1,-4.5,-7.9,2.0
247667.699,3.6,3.1,-3.5,-6.0,1.5
256244.087,2.0,3.7,0.6,0.0,1.5
249917.292,0.5,5.5,-0.4,-3.5,2.2
246895.179,1.2,7.7,-0.5,-3.3,2.3
242737.222,1.5,9.8,-3.0,-6.2,3.0
228746.505,0.0,9.6,-4.0,-6.5,2.1
217593.251,0.4,11.0,-4.5,-7.6,2.0
234928.482,5.1,8.5,-5.0,-7.5,2.0
239550.911,2.8,5.2,-1.3,-4.0,3.2
240134.244,0.0,8.0,-2.2,-5.8,3.0
233369.798,0.0,9.8,-7.2,-9.5,2.2
231927.537,0.2,8.5,-5.9,-8.0,2.0
223134.08,0.0,8.5,-2.2,-5.5,2.0
209411.806,0.0,8.5,-5.2,-9.0,2.0
231877.754,0.0,10.6,-4.5,-8.5,1.6
231942.766,0.0,9.5,-7.0,-9.5,1.9
232361.958,0.0,10.0,-5.1,-8.0,2.1
229979.882,0.0,10.5,0.2,-2.9,3.2
226897.334,0.0,10.0,4.0,1.5,4.3
216391.831,0.0,13.0,-0.8,-3.5,4.0
200181.301,0.0,11.5,-3.2,-5.9,4.0
223331.084,0.0,10.5,3.0,0.6,5.0
227829.583,0.0,14.0,7.3,7.2,5.6
197214.554,3.0,15.5,10.1,8.9,7.2
219643.657,10.9,11.4,1.6,-2.0,6.5
217802.472,0.6,13.3,5.9,2.8,6.6
207952.381,4.7,15.0,1.5,-1.6,6.5
198481.038,2.3,11.2,4.7,1.5,6.5
211282.532,12.5,10.0,1.5,-2.0,6.5
218364.583,0.4,14.0,6.4,5.6,7.6
211781.708,0.5,13.5,5.5,2.6,8.0
214205.381,0.4,15.1,3.5,-0.3,7.3
209185.878,0.1,12.5,5.4,1.5,8.0
200541.309,6.1,12.5,2.1,-1.4,7.8
181017.426,22.2,7.3,4.8,4.1,8.0
219872.827,6.6,7.5,0.0,-0.1,6.0
229866.292,3.1,7.7,2.4,0.5,5.5
224473.928,6.5,10.9,2.0,-4.9,5.2
217130.821,0.7,7.5,4.4,1.7,6.5
205445.071,0.9,10.5,-2.5,-5.4,6.0
205272.892,5.4,11.5,-3.1,-3.6,5.2
194673.197,15.7,13.0,4.6,3.3,7.8
190379.082,1.8,14.0,6.5,6.1,8.2
212583.079,0.1,13.6,0.4,-1.8,7.4
206668.534,0.0,15.5,3.0,-1.2,8.0
205807.859,0.0,15.5,2.0,-0.5,8.2
200398.005,0.0,19.2,1.5,-1.4,8.0
187649.16,0.0,19.7,-0.6,-3.2,8.0
177811.51,0.0,18.0,-0.5,-1.5,9.0
191422.328,0.0,17.7,3.0,-0.6,9.2
192143.268,0.0,12.4,0.5,-2.8,9.5
193995.45,0.0,16.4,1.0,-3.0,8.5
194111.371,0.0,16.7,1.5,-2.5,9.0
190482.003,0.0,16.4,-2.5,-5.0,8.8
185908.999,0.0,14.5,2.6,-1.5,10.0
179211.056,0.0,13.2,-2.9,-4.0,9.2
191770.12,0.0,12.0,1.0,-2.4,9.0
194924.502,0.0,13.5,0.4,-2.3,9.1
194404.684,0.0,14.7,0.0,-2.5,9.3
192489.163,0.0,16.7,1.3,-2.2,9.5
190634.904,4.2,17.0,3.0,-0.4,10.0
191488.492,1.1,17.5,10.3,8.5,11.0
179614.264,0.1,19.2,9.2,5.4,11.7
188916.764,3.1,16.4,10.0,6.0,12.2
195793.786,0.2,19.0,10.8,8.3,12.0
191732.919,3.0,15.5,3.9,-0.6,11.5
190488.888,2.7,16.0,7.0,4.5,11.5
191776.573,2.8,14.5,5.5,2.6,11.4
185580.046,0.1,12.5,4.1,-1.0,11.0
174927.045,0.0,13.5,1.0,-3.7,9.6
174782.348,0.0,13.0,1.5,-1.6,10.0
193601.05,1.3,16.1,6.0,1.8,10.7
195128.572,0.0,16.0,10.8,9.8,11.7
193780.027,0.0,14.0,6.0,3.6,11.2
191065.879,0.0,15.8,3.0,-0.5,10.5
180659.502,0.0,15.6,-0.5,-3.2,10.1
174024.869,0.0,13.1,4.5,1.8,10.7
188848.472,0.0,13.4,-2.4,-5.3,9.4
192409.879,0.0,13.8,1.0,-3.0,10.1
