Bin,Expected_Value
1,0.011485641
2,0.010017846
3,0.008918375
4,0.008175011
5,0.007724599
6,0.007420512
7,0.007245929
8,0.007072048
9,0.006987120
10,0.006970153
11,0.007082479
12,0.007405654
13,0.008129282
14,0.009370666
15,0.011526839
16,0.013622159
17,0.014909088
18,0.015411232
19,0.016487399
20,0.017167540
21,0.017521573
22,0.017573759
23,0.017633461
24,0.017750538
25,0.017983241
26,0.018298977
27,0.017927129
28,0.017178085
29,0.017217978
30,0.017178346
31,0.017494857
32,0.017992011
33,0.019044095
34,0.020448368
35,0.021621510
36,0.022042961
37,0.021431421
38,0.020797990
39,0.020582002
40,0.020130850
41,0.019749615
42,0.019585214
43,0.019434640
44,0.018702505
45,0.017759020
46,0.016239758
47,0.015170140
48,0.013240408
