Bin,Expected_Value
1,0.012352566
2,0.010900836
3,0.009781156
4,0.009016529
5,0.008326203
6,0.007790906
7,0.007471721
8,0.007203289
9,0.007010466
10,0.006908205
11,0.006885207
12,0.006959565
13,0.007148387
14,0.007344624
15,0.007872568
16,0.008519745
17,0.009384927
18,0.010796701
19,0.012398397
20,0.013843751
21,0.015131268
22,0.016062865
23,0.016757386
24,0.017305873
25,0.018013631
26,0.018386519
27,0.018126216
28,0.017447797
29,0.016782846
30,0.016182161
31,0.015890405
32,0.015730746
33,0.016117787
34,0.016799187
35,0.017884604
36,0.018745937
37,0.019118851
38,0.019226348
39,0.019160051
40,0.018971053
41,0.018663106
42,0.018336362
43,0.018264814
44,0.017603775
45,0.016663738
46,0.015434414
47,0.014417424
48,0.012678269
