Bin,Expected_Value
1,0.011623634
2,0.010157578
3,0.009062244
4,0.008270057
5,0.007820196
6,0.007473653
7,0.007293457
8,0.007101193
9,0.007024675
10,0.007007118
11,0.007105278
12,0.007389242
13,0.008059350
14,0.009146425
15,0.011272103
16,0.013385154
17,0.014786666
18,0.015473913
19,0.016577398
20,0.017304354
21,0.017708206
22,0.017818949
23,0.017864730
24,0.017932667
25,0.018157357
26,0.018464203
27,0.018101216
28,0.017371194
29,0.017349929
30,0.017241042
31,0.017434993
32,0.017849635
33,0.018637254
34,0.019783564
35,0.020767985
36,0.021218918
37,0.020829378
38,0.020341173
39,0.020108231
40,0.019657950
41,0.019242455
42,0.018922734
43,0.018775320
44,0.018103099
45,0.017315605
46,0.016295580
47,0.015602546
48,0.014192776
