Bin,Expected_Value
1,0.012666203
2,0.011110883
3,0.009872113
4,0.008905519
5,0.008205802
6,0.007697353
7,0.007382212
8,0.007102978
9,0.006928959
10,0.006854666
11,0.006888629
12,0.007023866
13,0.007312011
14,0.007699981
15,0.008588542
16,0.009685313
17,0.011043392
18,0.012610075
19,0.014524409
20,0.015879620
21,0.016914689
22,0.017413895
23,0.017666486
24,0.017889956
25,0.018245961
26,0.018483502
27,0.018090384
28,0.017528687
29,0.017216299
30,0.016800361
31,0.016706532
32,0.016800660
33,0.017308982
34,0.018322026
35,0.019575179
36,0.020410863
37,0.020300511
38,0.020256310
39,0.020039794
40,0.019482136
41,0.018900986
42,0.018453032
43,0.017994153
44,0.017402640
45,0.016586586
46,0.015589765
47,0.014912790
48,0.013576070
