Bin,Expected_Value
1,0.011199425
2,0.009735959
3,0.008679643
4,0.007974037
5,0.007529908
6,0.007265012
7,0.007115091
8,0.006971332
9,0.006942257
10,0.006939495
11,0.007054948
12,0.007352977
13,0.008073315
14,0.009261624
15,0.011449570
16,0.013609301
17,0.014896451
18,0.015429745
19,0.016603029
20,0.017281201
21,0.017635621
22,0.017707568
23,0.017748795
24,0.017851167
25,0.018151048
26,0.018470126
27,0.018097193
28,0.017335033
29,0.017401354
30,0.017284210
31,0.017647211
32,0.018158688
33,0.019158119
34,0.020578521
35,0.021831893
36,0.022303566
37,0.021636547
38,0.020889523
39,0.020717322
40,0.020374911
41,0.020087888
42,0.019838869
43,0.019460902
44,0.018740254
45,0.017778698
46,0.016224267
47,0.015103937
48,0.013161223
