Bin,Expected_Value
1,0.011534709
2,0.009932498
3,0.008858970
4,0.008114925
5,0.007645873
6,0.007296883
7,0.007124046
8,0.006928721
9,0.006846444
10,0.006837107
11,0.006918466
12,0.007180395
13,0.007791205
14,0.008916594
15,0.010875275
16,0.012826684
17,0.014090071
18,0.014681619
19,0.015783165
20,0.016592785
21,0.017090134
22,0.017370701
23,0.017533223
24,0.017731354
25,0.018035642
26,0.018366501
27,0.018032953
28,0.017275887
29,0.017224141
30,0.017135255
31,0.017507122
32,0.018029348
33,0.019114515
34,0.020639949
35,0.021916632
36,0.022366544
37,0.021648085
38,0.020868238
39,0.020736141
40,0.020269891
41,0.019884894
42,0.019588658
43,0.019418129
44,0.018548389
45,0.017555292
46,0.016066816
47,0.014945973
48,0.012990510
