Bin,Expected_Value
1,0.011288963
2,0.009886346
3,0.008825691
4,0.008120939
5,0.007697593
6,0.007407565
7,0.007231030
8,0.007051986
9,0.006970855
10,0.006972471
11,0.007097379
12,0.007403201
13,0.008117651
14,0.009339913
15,0.011457242
16,0.013539701
17,0.014824403
18,0.015424344
19,0.016549759
20,0.017240030
21,0.017700169
22,0.017881625
23,0.017941107
24,0.018095120
25,0.018381698
26,0.018750287
27,0.018358484
28,0.017580792
29,0.017649263
30,0.017608911
31,0.018020920
32,0.018498801
33,0.019529151
34,0.021047079
35,0.022292043
36,0.022696625
37,0.021818056
38,0.021050548
39,0.020804502
40,0.020342036
41,0.020083952
42,0.019896567
43,0.019586518
44,0.018833818
45,0.017742230
46,0.016135993
47,0.014920048
48,0.012902215
