Date,Sum
2009-07-15,204362.954000000
2009-07-16,200007.563999999
2009-07-17,200041.092000001
2009-07-18,197361.697000002
2009-07-19,188753.380000003
2009-07-20,175974.172000003
2009-07-21,196439.080000001
2009-07-22,201074.567000007
2009-07-23,199337.975000003
2009-07-24,200189.627999998
2009-07-25,199087.673000004
2009-07-26,190037.126000006
2009-07-27,178790.995000000
2009-07-28,197931.086999996
2009-07-29,202387.804999999
2009-07-30,201335.065999995
2009-07-31,199400.531999995
2009-08-01,206992.893999997
2009-08-02,189731.961000002
2009-08-03,177981.770000001
2009-08-04,182042.406000002
2009-08-05,201248.766000006
2009-08-06,201119.591000000
2009-08-07,201269.983000005
2009-08-08,197453.352999998
2009-08-09,189834.578999999
2009-08-10,181147.518000000
2009-08-11,202842.105999997
2009-08-12,205530.709999998
2009-08-13,206345.390000005
2009-08-14,203366.393000005
2009-08-15,206912.329999994
2009-08-16,194052.528000001
2009-08-17,183150.615000003
2009-08-18,201818.944000002
2009-08-19,208320.950999998
2009-08-20,210697.153999997
2009-08-21,207542.545999997
2009-08-22,204168.205999999
2009-08-23,195090.540999995
2009-08-24,186506.891999998
2009-08-25,205054.400999998
2009-08-26,198075.244000001
2009-08-27,199524.856000001
2009-08-28,199186.234000002
2009-08-29,197093.384999998
2009-08-30,185486.047000004
2009-08-31,182002.293999996
2009-09-01,180651.410999998
2009-09-02,178800.784999993
2009-09-03,182935.907999999
2009-09-04,177585.927000000
2009-09-05,174444.708000003
2009-09-06,167736.801999999
2009-09-07,164971.439000002
2009-09-08,173472.917000002
2009-09-09,178807.646999998
2009-09-10,172195.126000000
2009-09-11,170527.983999999
2009-09-12,169830.877000002
2009-09-13,174289.265999996
2009-09-14,166628.064999995
2009-09-15,184263.606999999
2009-09-16,186743.565999999
2009-09-17,186167.198999996
2009-09-18,186215.886000002
2009-09-19,206126.583000000
2009-09-20,200490.263000002
2009-09-21,191515.003000005
2009-09-22,207299.542999995
2009-09-23,207243.636000004
2009-09-24,207569.906999999
2009-09-25,207354.769000005
2009-09-26,206812.861999999
2009-09-27,201028.186000004
2009-09-28,190924.091000001
2009-09-29,208445.952000000
2009-09-30,211545.278000002
2009-10-01,210123.507999996
2009-10-02,211252.594000008
2009-10-03,213633.783000003
2009-10-04,204959.083999996
2009-10-05,194515.571000002
2009-10-06,209833.039999997
2009-10-07,220552.055000004
2009-10-08,217741.074000007
2009-10-09,214516.413999992
2009-10-10,222081.607000001
2009-10-11,206481.603000004
2009-10-12,196191.628999999
2009-10-13,214257.130000005
2009-10-14,219125.059000002
2009-10-15,217148.953000000
2009-10-16,216772.174000003
2009-10-17,215298.888000009
2009-10-18,205952.372000006
2009-10-19,200042.413999997
2009-10-20,222383.491000002
2009-10-21,224218.708999999
2009-10-22,224848.579000000
2009-10-23,220118.349000002
2009-10-24,220509.817000004
2009-10-25,208716.416000004
2009-10-26,205802.321000003
2009-10-27,201787.934000001
2009-10-28,228625.309000000
2009-10-29,223679.194999999
2009-10-30,229784.513999994
2009-10-31,229236.391999999
2009-11-01,212125.670999994
2009-11-02,208475.700999997
2009-11-03,231390.207999994
2009-11-04,233991.766999994
2009-11-05,236929.870999994
2009-11-06,235143.410999999
2009-11-07,236290.537999997
2009-11-08,227919.598999999
2009-11-09,214058.346000000
2009-11-10,242391.714999995
2009-11-11,237387.479000001
2009-11-12,245126.197999998
2009-11-13,242939.302999996
2009-11-14,242630.923000001
2009-11-15,229436.608000003
2009-11-16,218562.764000003
2009-11-17,241045.777999997
2009-11-18,244688.596000003
2009-11-19,244158.444999999
2009-11-20,243198.410000000
2009-11-21,234100.590000003
2009-11-22,229566.485000001
2009-11-23,224059.882999999
2009-11-24,242694.553999995
2009-11-25,251071.994000007
2009-11-26,248001.762999997
2009-11-27,246324.274999995
2009-11-28,249522.392000000
2009-11-29,240447.046000004
2009-11-30,231857.026000005
2009-12-01,256680.190999999
2009-12-02,264130.280000003
2009-12-03,254362.971999997
2009-12-04,256084.484999999
2009-12-05,256740.565999992
2009-12-06,241458.771000001
2009-12-07,227720.325000004
2009-12-08,256935.186999999
2009-12-09,259815.464000000
2009-12-10,255090.830999996
2009-12-11,253998.003000003
2009-12-12,250380.282000000
2009-12-13,241034.944000005
2009-12-14,235741.273000004
2009-12-15,269174.108999991
2009-12-16,263712.032999995
2009-12-17,264941.924000012
2009-12-18,264658.385999998
2009-12-19,270508.056999991
2009-12-20,258948.927000006
2009-12-21,250371.666999999
2009-12-22,281633.253000001
2009-12-23,284532.824999999
2009-12-24,280114.126999997
2009-12-25,276935.459000003
2009-12-26,269004.066000009
2009-12-27,236576.502000000
2009-12-28,234674.983000004
2009-12-29,243171.617000011
2009-12-30,257973.336000000
2009-12-31,258763.554000000
2010-01-01,252581.292000004
2010-01-02,242847.263000000
2010-01-03,246785.565000003
2010-01-04,243823.419999994
2010-01-05,278673.396000004
2010-01-06,277897.357999991
2010-01-07,281007.666000012
2010-01-08,278785.840999997
2010-01-09,280632.620999993
2010-01-10,272133.991999999
2010-01-11,262750.210000009
2010-01-12,278775.820000006
2010-01-13,282500.338000002
2010-01-14,269964.898000003
2010-01-15,261483.106000003
2010-01-16,257288.416000006
2010-01-17,236697.805999995
2010-01-18,226367.098000006
2010-01-19,245960.353000003
2010-01-20,253083.052999996
2010-01-21,247796.208000002
2010-01-22,253125.244000004
2010-01-23,243284.672999998
2010-01-24,238920.296000001
2010-01-25,231580.242000005
2010-01-26,253337.756000005
2010-01-27,253874.389000003
2010-01-28,251620.443999998
2010-01-29,249074.176000000
2010-01-30,245697.235000006
2010-01-31,235157.183000007
2010-02-01,228130.990000002
2010-02-02,253689.574000002
2010-02-03,249384.787000002
2010-02-04,247392.491000006
2010-02-05,250334.630000004
2010-02-06,240435.993999999
2010-02-07,232217.816000003
2010-02-08,223379.255999999
2010-02-09,247352.965999995
2010-02-10,248716.964999996
2010-02-11,248451.059000004
2010-02-12,247938.153000010
2010-02-13,247110.670000008
2010-02-14,232201.021000006
2010-02-15,218237.675000008
2010-02-16,240989.247000004
2010-02-17,244478.149000001
2010-02-18,243806.661999994
2010-02-19,245031.717000003
2010-02-20,246207.862000005
2010-02-21,233894.686000002
2010-02-22,223762.156999994
2010-02-23,247667.698999998
2010-02-24,256244.087000005
2010-02-25,249917.292000003
2010-02-26,246895.179000006
2010-02-27,242737.222000006
2010-02-28,228746.505000008
2010-03-01,217593.250999996
2010-03-02,234928.482000008
2010-03-03,239550.911000004
2010-03-04,240134.244000005
2010-03-05,233369.798000008
2010-03-06,231927.537000006
2010-03-07,223134.080000000
2010-03-08,209411.806000000
2010-03-09,231877.754000010
2010-03-10,231942.766000001
2010-03-11,232361.958000002
2010-03-12,229979.882000003
2010-03-13,226897.333999998
2010-03-14,216391.831000006
2010-03-15,200181.300999996
2010-03-16,223331.084000004
2010-03-17,227829.582999997
2010-03-18,197214.553999997
2010-03-19,219643.657000000
2010-03-20,217802.472000001
2010-03-21,207952.380999998
2010-03-22,198481.037999996
2010-03-23,211282.532000007
2010-03-24,218364.583000003
2010-03-25,211781.707999999
2010-03-26,214205.380999996
2010-03-27,209185.878000002
2010-03-28,200541.309000001
2010-03-29,181017.426000003
2010-03-30,219872.826999999
2010-03-31,229866.291999998
2010-04-01,224473.928000002
2010-04-02,217130.821000001
